,c
353,0.8678100000000001
354,1.0007
355,0.7227100000000001
356,0.9996700000000001
357,0.99976
358,0.7912399999999999
359,0.8479399999999999
360,1.0004
361,0.88638
362,0.9445899999999999
363,0.9995299999999999
364,1.0015
365,0.86644
366,0.89844
367,0.84641
368,0.8564799999999999
369,1.001
370,0.8059999999999999
371,0.9996
372,0.99866
373,0.9992700000000001
374,0.8417600000000001
375,0.75869
376,1.0008
377,0.86898
378,0.78081
379,0.99966
380,0.85754
381,1.0008
382,0.9983799999999999
383,1.0001
384,1.0014
385,0.99915
386,0.86085
387,1.0007
388,0.90697
389,0.93145
390,1.001
391,0.8472299999999999
392,0.8743200000000001
393,0.92532
394,0.99889
395,0.9990700000000001
396,1.0008
397,0.9989299999999999
398,0.8825
399,1.0011
400,0.7560100000000001
401,0.99985
402,0.88508
403,0.81872
404,0.99997
405,0.9996299999999999
406,1.0025
407,1.0011
408,0.9973799999999999
409,0.99913
410,1.0009
411,0.89851
412,0.77798
413,0.99961
414,0.8561200000000001
415,0.9124700000000001
416,0.8658799999999999
417,0.88992
418,1.0014
419,0.84109
420,0.9994799999999999
421,0.9990000000000001
422,0.9993200000000001
423,0.81224
424,0.88794
425,0.99955
426,0.9375600000000001
427,0.9992700000000001
428,0.9979399999999999
429,0.9983700000000001
430,1.0004
431,0.81007
432,0.85059
433,1.0017
434,0.9994299999999999
435,0.86377
436,1.0002
437,0.82232
438,0.84535
439,1.0006
440,1.0012
441,1.0013
442,1.0
443,0.85883
444,1.0005
445,1.0001
446,0.9979100000000001
447,0.99961
448,0.8837799999999999
449,0.86361
450,0.9989399999999999
451,0.89728
452,1.0003
453,1.0002
454,0.8592
455,1.0002
456,1.0009
457,0.80993
458,0.99897
459,0.8616
460,0.88297
461,0.84529
462,0.99977
463,0.9987
464,0.9136299999999999
465,0.83893
466,0.8488700000000001
467,0.9089299999999999
468,0.83085
469,1.0008
470,1.0016
471,1.0006
472,1.0014
473,0.8421
474,0.88982
475,0.99911
476,0.8810600000000001
477,0.9989899999999999
478,0.81588
479,0.7993100000000001
480,0.99954
481,0.9994799999999999
482,1.0008
483,0.93896
484,1.0003
