,m
397,0.81172
398,0.8472700000000001
399,0.7188100000000001
400,0.75305
401,0.8987200000000001
402,1.0009
403,0.9990600000000001
404,1.0005
405,0.93671
406,0.8635200000000001
407,0.7795
408,0.9987
409,0.99841
410,1.0008
411,0.74748
412,1.001
413,0.7608199999999999
414,0.9986299999999999
415,0.99985
416,0.82976
417,1.0007
418,0.99998
419,1.0008
420,0.81934
421,0.8593299999999999
422,1.0003
423,0.79807
424,0.81015
425,1.0013
426,1.0012
427,0.89235
428,0.9998600000000001
429,0.8442200000000001
430,0.9995200000000001
431,0.9080600000000001
432,0.88805
433,0.9983799999999999
434,0.81652
435,1.0005
436,0.73417
437,0.87354
438,0.86545
439,1.0012
440,0.9990899999999999
441,0.8340700000000001
442,1.0005
443,0.99974
444,1.0021
445,0.9988299999999999
446,0.88265
447,1.0
448,0.91865
449,0.99955
450,0.78401
451,1.0011
452,0.8561200000000001
453,0.99864
454,0.93748
455,0.84996
456,0.88587
457,0.99845
458,1.0002
459,0.9988
460,1.0006
461,0.9031399999999999
462,0.99854
463,0.86731
464,0.9990399999999999
465,0.99946
466,0.87036
467,1.0014
468,0.8337700000000001
469,1.0019
470,1.0016
471,1.0009
472,1.0004
473,1.0029
474,0.79123
475,0.8548399999999999
476,0.8073100000000001
477,1.0014
478,1.0004
479,0.9999600000000001
480,0.86041
481,0.93763
482,1.0002
483,0.94734
484,1.0011
485,0.9997799999999999
486,1.0007
487,0.8254299999999999
488,0.99926
489,0.7954
490,0.82515
491,0.91125
492,1.0004
493,1.0002
494,0.9989
495,1.0013
496,0.99916
497,1.0006
498,0.8871700000000001
499,0.79885
500,1.0013
501,0.8689899999999999
502,0.8483799999999999
503,0.9027
504,0.9989
505,0.9984799999999999
506,0.9995299999999999
507,0.96142
508,1.0001
509,0.99916
510,0.89756
511,0.99925
512,0.79064
513,0.87544
514,0.86234
515,0.99915
516,1.0003
517,0.78604
518,0.9991200000000001
519,0.99936
520,0.87125
521,1.0013
522,0.80305
523,0.9997799999999999
524,0.77795
525,0.8733
526,0.8709
527,0.8501299999999999
528,0.99977
529,1.0006
530,0.9996
531,0.9998
532,0.8340000000000001
533,0.83975
534,1.0003
535,0.92006
536,0.9995700000000001
537,1.0003
538,0.81576
539,0.8014
540,1.0005
541,0.8408700000000001
542,1.0014
543,0.8563
544,1.0004
545,1.0012
546,0.89284
547,0.7682899999999999
548,1.0007
549,0.9998100000000001
550,0.80935
551,0.99905
552,0.8483200000000001
553,0.99966
554,0.9295100000000001
555,1.0007
556,1.0005
557,1.0015
558,1.0017
559,0.99989
560,0.99997
561,0.86488
562,0.9983299999999999
563,0.96136
564,1.0005
565,0.8851600000000001
566,1.0014
567,0.86816
568,0.80235
569,0.84936
570,0.9993700000000001
571,0.9280799999999999
572,0.79578
573,0.8965
574,0.84231
575,0.81634
576,0.9178299999999999
577,0.86856
578,1.0019
579,0.99974
580,0.88351
581,0.8301700000000001
582,1.0001
583,0.86024
584,0.99941
585,0.8269700000000001
586,0.84805
587,0.998
588,0.9997299999999999
589,0.9999899999999999
590,0.8471299999999999
591,0.9986700000000001
592,0.80765
593,0.85685
594,0.99854
595,0.78792
596,0.89202
597,0.99965
598,0.99851
599,0.8509200000000001
600,0.99966
601,0.81057
602,1.0008
603,0.99945
604,0.85808
605,0.73049
606,0.78987
607,0.9991
608,1.0013
609,0.8699899999999999
610,0.8310700000000001
611,0.88955
612,1.0001
613,0.83044
614,0.84665
615,0.8704
616,0.78906
617,0.78159
618,0.99859
619,1.0008
620,1.0011
621,0.8067300000000001
622,1.0007
623,0.9987299999999999
624,1.0023
625,0.8185100000000001
626,0.80477
627,0.99923
628,0.7606
629,0.78147
630,0.99995
631,0.85419
632,0.88033
633,0.85549
634,0.83036
635,0.9997799999999999
636,1.0009
637,0.9996200000000001
